 v-sweep         v(vgs)          id              gm              gds             vth             gm_id           gm_gds          id_w           
 4.25000000e-01  4.25000000e-01  7.39761568e-08  1.88123118e-06  1.68171753e-08  6.10968829e-01  2.54302367e+01  1.11863683e+02  7.39761568e-03 
 4.30000000e-01  4.30000000e-01  8.39902476e-08  2.12935182e-06  1.90690457e-08  6.10968829e-01  2.53523698e+01  1.11665358e+02  8.39902476e-03 
 4.35000000e-01  4.35000000e-01  9.53221004e-08  2.40894079e-06  2.16115799e-08  6.10968829e-01  2.52715873e+01  1.11465279e+02  9.53221004e-03 
 4.40000000e-01  4.40000000e-01  1.08138384e-07  2.72378200e-06  2.44802131e-08  6.10968829e-01  2.51879296e+01  1.11264636e+02  1.08138384e-02 
 4.45000000e-01  4.45000000e-01  1.22625668e-07  3.07808511e-06  2.77143191e-08  6.10968830e-01  2.51014748e+01  1.11064793e+02  1.22625668e-02 
 4.50000000e-01  4.50000000e-01  1.38992764e-07  3.47653049e-06  3.13575825e-08  6.10968830e-01  2.50123128e+01  1.10867299e+02  1.38992764e-02 
 4.55000000e-01  4.55000000e-01  1.57473167e-07  3.92431876e-06  3.54583948e-08  6.10968830e-01  2.49205552e+01  1.10673898e+02  1.57473167e-02 
 4.60000000e-01  4.60000000e-01  1.78327781e-07  4.42722560e-06  4.00702749e-08  6.10968830e-01  2.48263371e+01  1.10486529e+02  1.78327781e-02 
 4.65000000e-01  4.65000000e-01  2.01847929e-07  4.99166220e-06  4.52523140e-08  6.10968830e-01  2.47298163e+01  1.10307336e+02  2.01847929e-02 
 4.70000000e-01  4.70000000e-01  2.28358758e-07  5.62474201e-06  5.10696431e-08  6.10968830e-01  2.46311640e+01  1.10138659e+02  2.28358758e-02 
 4.75000000e-01  4.75000000e-01  2.58222844e-07  6.33435433e-06  5.75939231e-08  6.10968831e-01  2.45305730e+01  1.09983033e+02  2.58222844e-02 
 4.80000000e-01  4.80000000e-01  2.91844362e-07  7.12924532e-06  6.49038544e-08  6.10968831e-01  2.44282441e+01  1.09843173e+02  2.91844362e-02 
 4.85000000e-01  4.85000000e-01  3.29673508e-07  8.01910676e-06  7.30857049e-08  6.10968831e-01  2.43243893e+01  1.09721960e+02  3.29673508e-02 
 4.90000000e-01  4.90000000e-01  3.72211517e-07  9.01467306e-06  8.22338531e-08  6.10968831e-01  2.42192212e+01  1.09622409e+02  3.72211517e-02 
 4.95000000e-01  4.95000000e-01  4.20016118e-07  1.01278265e-05  9.24513415e-08  6.10968832e-01  2.41129474e+01  1.09547643e+02  4.20016118e-02 
 5.00000000e-01  5.00000000e-01  4.73707559e-07  1.13717108e-05  1.03850437e-07  6.10968832e-01  2.40057618e+01  1.09500847e+02  4.73707559e-02 
 5.05000000e-01  5.05000000e-01  5.33975186e-07  1.27608517e-05  1.16553191e-07  6.10968833e-01  2.38978365e+01  1.09485219e+02  5.33975186e-02 
 5.10000000e-01  5.10000000e-01  6.01584752e-07  1.43112843e-05  1.30691996e-07  6.10968833e-01  2.37893069e+01  1.09503908e+02  6.01584752e-02 
 5.15000000e-01  5.15000000e-01  6.77386140e-07  1.60406850e-05  1.46410118e-07  6.10968834e-01  2.36802675e+01  1.09559949e+02  6.77386140e-02 
 5.20000000e-01  5.20000000e-01  7.62322099e-07  1.79685053e-05  1.63862218e-07  6.10968834e-01  2.35707523e+01  1.09656183e+02  7.62322099e-02 
 5.25000000e-01  5.25000000e-01  8.57437264e-07  2.01161035e-05  1.83214823e-07  6.10968835e-01  2.34607292e+01  1.09795174e+02  8.57437264e-02 
 5.30000000e-01  5.30000000e-01  9.63888148e-07  2.25068706e-05  2.04646755e-07  6.10968836e-01  2.33500854e+01  1.09979122e+02  9.63888148e-02 
 5.35000000e-01  5.35000000e-01  1.08295351e-06  2.51663438e-05  2.28349490e-07  6.10968836e-01  2.32386187e+01  1.10209766e+02  1.08295351e-01 
 5.40000000e-01  5.40000000e-01  1.21604538e-06  2.81223011e-05  2.54527433e-07  6.10968837e-01  2.31260294e+01  1.10488291e+02  1.21604538e-01 
 5.45000000e-01  5.45000000e-01  1.36472039e-06  3.14048282e-05  2.83398097e-07  6.10968838e-01  2.30119140e+01  1.10815240e+02  1.36472039e-01 
 5.50000000e-01  5.50000000e-01  1.53069148e-06  3.50463496e-05  3.15192156e-07  6.10968840e-01  2.28957631e+01  1.11190424e+02  1.53069148e-01 
 5.55000000e-01  5.55000000e-01  1.71583956e-06  3.90816129e-05  3.50153349e-07  6.10968841e-01  2.27769623e+01  1.11612849e+02  1.71583956e-01 
 5.60000000e-01  5.60000000e-01  1.92222486e-06  4.35476177e-05  3.88538229e-07  6.10968842e-01  2.26547989e+01  1.12080651e+02  1.92222486e-01 
 5.65000000e-01  5.65000000e-01  2.15209803e-06  4.84834773e-05  4.30615725e-07  6.10968844e-01  2.25284706e+01  1.12591052e+02  2.15209803e-01 
 5.70000000e-01  5.70000000e-01  2.40791014e-06  5.39302057e-05  4.76666490e-07  6.10968846e-01  2.23971006e+01  1.13140334e+02  2.40791014e-01 
 5.75000000e-01  5.75000000e-01  2.69232144e-06  5.99304200e-05  5.26982043e-07  6.10968848e-01  2.22597566e+01  1.13723837e+02  2.69232144e-01 
 5.80000000e-01  5.80000000e-01  3.00820853e-06  6.65279555e-05  5.81863667e-07  6.10968850e-01  2.21154733e+01  1.14335985e+02  3.00820853e-01 
 5.85000000e-01  5.85000000e-01  3.35866921e-06  7.37673875e-05  6.41621075e-07  6.10968852e-01  2.19632786e+01  1.14970331e+02  3.35866921e-01 
 5.90000000e-01  5.90000000e-01  3.74702488e-06  8.16934640e-05  7.06570836e-07  6.10968855e-01  2.18022209e+01  1.15619638e+02  3.74702488e-01 
 5.95000000e-01  5.95000000e-01  4.17681970e-06  9.03504516e-05  7.77034567e-07  6.10968858e-01  2.16313985e+01  1.16275975e+02  4.17681970e-01 
 6.00000000e-01  6.00000000e-01  4.65181650e-06  9.97814067e-05  8.53336916e-07  6.10968862e-01  2.14499877e+01  1.16930845e+02  4.65181650e-01 
 6.05000000e-01  6.05000000e-01  5.17598871e-06  1.10027385e-04  9.35803358e-07  6.10968865e-01  2.12572692e+01  1.17575326e+02  5.17598871e-01 
 6.10000000e-01  6.10000000e-01  5.75350828e-06  1.21126610e-04  1.02475783e-06  6.10968869e-01  2.10526523e+01  1.18200228e+02  5.75350828e-01 
 6.15000000e-01  6.15000000e-01  6.38872941e-06  1.33113617e-04  1.12052028e-06  6.10968874e-01  2.08356949e+01  1.18796258e+02  6.38872941e-01 
 6.20000000e-01  6.20000000e-01  7.08616801e-06  1.46018412e-04  1.22340412e-06  6.10968879e-01  2.06061177e+01  1.19354194e+02  7.08616801e-01 
 6.25000000e-01  6.25000000e-01  7.85047695e-06  1.59865660e-04  1.33371368e-06  6.10968884e-01  2.03638150e+01  1.19865052e+02  7.85047695e-01 
 6.30000000e-01  6.30000000e-01  8.68641750e-06  1.74673935e-04  1.45174178e-06  6.10968890e-01  2.01088579e+01  1.20320251e+02  8.68641750e-01 
 6.35000000e-01  6.35000000e-01  9.59882716e-06  1.90455068e-04  1.57776734e-06  6.10968897e-01  1.98414936e+01  1.20711757e+02  9.59882716e-01 
 6.40000000e-01  6.40000000e-01  1.05925846e-05  2.07213604e-04  1.71205317e-06  6.10968904e-01  1.95621382e+01  1.21032225e+02  1.05925846e+00 
